Author ,Year,Specimen,H,H_units,B,B_units,t,t_units,SteelTubeType,Fy,Fy_units,Fu,Fu_units,fc,fc_units,fc_type,BendingAxis,Mexp,Mexp_units,Tags,Notes
Lu & Kennedy,1994,CB12,152.4,mm,152.4,mm,4.43,mm,ColdFormed,389,MPa,,,47,MPa,Cylinder,strong,73.6,kN-m,,
Lu & Kennedy,1994,CB13,152.4,mm,152.4,mm,4.43,mm,ColdFormed,389,MPa,,,42.8,MPa,Cylinder,strong,75.1,kN-m,,
Lu & Kennedy,1994,CB15,152.4,mm,152.4,mm,4.43,mm,ColdFormed,389,MPa,,,41.2,MPa,Cylinder,strong,71.3,kN-m,,
Lu & Kennedy,1994,CB22,152.4,mm,152.4,mm,8.95,mm,ColdFormed,432,MPa,,,46.9,MPa,Cylinder,strong,146.5,kN-m,,
Lu & Kennedy,1994,CB31,253.4,mm,152,mm,6.17,mm,ColdFormed,377,MPa,,,46.7,MPa,Cylinder,strong,210.7,kN-m,,
Lu & Kennedy,1994,CB33,253.4,mm,152,mm,6.17,mm,ColdFormed,377,MPa,,,45.2,MPa,Cylinder,strong,210.7,kN-m,,
Lu & Kennedy,1994,CB35,253.4,mm,152,mm,6.17,mm,ColdFormed,377,MPa,,,44.3,MPa,Cylinder,strong,207.6,kN-m,,
Lu & Kennedy,1994,CB41,253,mm,152.2,mm,9.04,mm,ColdFormed,394,MPa,,,46.2,MPa,Cylinder,strong,283.8,kN-m,,
Lu & Kennedy,1994,CB45,253,mm,152.2,mm,9.04,mm,ColdFormed,394,MPa,,,43.8,MPa,Cylinder,strong,282.2,kN-m,,
Lu & Kennedy,1994,CB52,253.4,mm,152,mm,6.17,mm,ColdFormed,377,MPa,,,47.1,MPa,Cylinder,weak,144.7,kN-m,,
Lu & Kennedy,1994,CB53,253.4,mm,152,mm,6.17,mm,ColdFormed,377,MPa,,,42.1,MPa,Cylinder,weak,146.7,kN-m,,
Lu & Kennedy,1994,CB55,253.4,mm,152,mm,6.17,mm,ColdFormed,377,MPa,,,40.5,MPa,Cylinder,weak,142.9,kN-m,,
Uy,2001,HSS6,110,mm,110,mm,5,mm,WeldedBox,784.2,MPa,816.6,MPa,30,MPa,Cylinder,strong,66,kN-m,,
Uy,2001,HSS13,160,mm,160,mm,5,mm,WeldedBox,784.2,MPa,816.6,MPa,30,MPa,Cylinder,strong,141,kN-m,,
